batch,n,f1,precision,recall,accuracy,roc_auc,pr_auc,pos_rate,prob_mean,prob_std
0,49,0.7,0.7777777777777778,0.6363636363636364,0.8775510204081632,0.9641148325358851,0.899414756366628,0.1836734693877551,0.16404227876281574,0.22380527693608124
1,49,0.6,0.75,0.5,0.9183673469387755,0.8527131782945737,0.7046254399195576,0.08163265306122448,0.13525541695128582,0.1604004168351046
2,49,0.4,0.5,0.3333333333333333,0.8775510204081632,0.7248062015503876,0.4373417280394025,0.08163265306122448,0.1339326570234862,0.17593825795513668
3,49,0.46153846153846156,0.5,0.42857142857142855,0.8571428571428571,0.6360544217687074,0.4600508187464709,0.12244897959183673,0.14972859138438807,0.20305035141547093
4,49,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8367346938775511,0.8911564625850341,0.5659340659340659,0.14285714285714285,0.16024392187331116,0.2135820235457235
5,49,0.4,0.3333333333333333,0.5,0.9387755102040817,0.7021276595744681,0.5333333333333333,0.061224489795918366,0.1129078424954559,0.15637487467326866
6,49,0.2857142857142857,0.3333333333333333,0.25,0.8979591836734694,0.8111111111111111,0.4326923076923077,0.061224489795918366,0.1133061404684087,0.1470077611840159
7,49,0.75,0.75,0.75,0.9183673469387755,0.9298780487804877,0.7132936507936507,0.16326530612244897,0.18881743025026196,0.22578542084725767
8,49,0.7,0.7,0.7,0.8775510204081632,0.8358974358974359,0.7580588235294117,0.20408163265306123,0.1642984269087768,0.18973214486629245
9,49,0.6666666666666666,1.0,0.5,0.8979591836734694,0.8717948717948718,0.7257884272590155,0.10204081632653061,0.17385905018683867,0.22240119882114193
10,49,0.4,0.3333333333333333,0.5,0.8775510204081632,0.9111111111111111,0.6547619047619048,0.12244897959183673,0.14057724262492202,0.1856319159793693
11,49,0.9090909090909091,1.0,0.8333333333333334,0.9795918367346939,0.9341085271317828,0.8768115942028986,0.10204081632653061,0.1287114689283362,0.18790677654623789
12,49,0.6666666666666666,0.7142857142857143,0.625,0.8979591836734694,0.7347560975609756,0.7004368988974901,0.14285714285714285,0.1445819679640046,0.20259976403399518
13,49,0.5454545454545454,0.6,0.5,0.8979591836734694,0.806201550387597,0.6061965811965812,0.10204081632653061,0.12807409683472548,0.19165650733483813
14,49,0.8,0.7272727272727273,0.8888888888888888,0.9183673469387755,0.9916666666666667,0.9722222222222223,0.22448979591836735,0.2083733514396063,0.2610306119133998
15,49,0.6666666666666666,0.8,0.5714285714285714,0.9183673469387755,0.8571428571428571,0.7703634085213031,0.10204081632653061,0.1191125447875932,0.21275055230606704
16,49,0.8235294117647058,1.0,0.7,0.9387755102040817,0.9025641025641026,0.849758064516129,0.14285714285714285,0.1939789050535791,0.2355234760597806
17,49,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.8367346938775511,0.8779904306220097,0.7485323453975492,0.14285714285714285,0.17446819383697873,0.2226749670915691
18,49,0.5333333333333333,1.0,0.36363636363636365,0.8571428571428571,0.8708133971291867,0.7942268020297397,0.08163265306122448,0.13285086588800724,0.16458363008598495
19,49,0.47058823529411764,0.4444444444444444,0.5,0.8163265306122449,0.7804878048780488,0.5408982683982684,0.1836734693877551,0.18417924495124013,0.2389365646997841
20,49,0.75,1.0,0.6,0.9183673469387755,0.9128205128205128,0.8587418300653594,0.12244897959183673,0.14271810852751587,0.21409127735989977
21,49,0.5333333333333333,0.8,0.4,0.8571428571428571,0.8358974358974359,0.6713178935759581,0.10204081632653061,0.17915534962696236,0.2249608820937894
22,49,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9183673469387755,0.8992248062015504,0.765686274509804,0.12244897959183673,0.18199290989181652,0.21049078945613853
23,49,0.5,0.3333333333333333,1.0,0.9183673469387755,0.9893617021276595,0.8333333333333333,0.12244897959183673,0.16802600523714684,0.19032890245270576
24,49,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.8979591836734694,0.7999999999999999,0.7291005291005292,0.12244897959183673,0.14405422032369497,0.1882214477570736
25,49,0.7142857142857143,1.0,0.5555555555555556,0.9183673469387755,0.8277777777777778,0.7684939091915837,0.10204081632653061,0.17001750209733263,0.2373688670933157
26,49,0.8181818181818182,1.0,0.6923076923076923,0.9183673469387755,0.8760683760683761,0.8334219457013574,0.1836734693877551,0.18616816534108233,0.24034198543371188
27,49,0.5,0.4444444444444444,0.5714285714285714,0.8367346938775511,0.8605442176870748,0.61726368869226,0.1836734693877551,0.17366963679284786,0.20555007163588973
28,49,0.7368421052631579,0.875,0.6363636363636364,0.8979591836734694,0.9210526315789473,0.8509962259962259,0.16326530612244897,0.18511540254680273,0.24103869434035535
29,49,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.8367346938775511,0.875,0.6722697056030389,0.1836734693877551,0.19291371154236905,0.24990457955436327
