exp_id,description,metric_mean,metric_std,per_fold_json,timestamp,pvalue_vs_baseline,effect_size,test_name,pvalue_adj_fdr,significant_fdr
E1_SMOTE_LR,SMOTE + Logistic Regression,0.484655648101339,0.0185033327120435,"[0.45255474452554745, 0.4852941176470588, 0.496551724137931, 0.4927536231884058, 0.49612403100775193]",2025-10-01 22:47:20,0.0763228159179011,-1.0625681405473384,paired_t,0.1526456318358022,False
E2_SMOTE_RF,SMOTE + Random Forest,0.4351109739522936,0.067733815157887,"[0.37142857142857144, 0.4473684210526316, 0.375, 0.5373134328358209, 0.4444444444444444]",2025-10-01 22:47:22,0.0130569990320813,-1.9049839065253795,paired_t,0.03917099709624391,True
E3_LOG_LR,"Log1p(Income,TotalYears,YearsAtCo) + LR",0.5348792119944685,0.0590411580225413,"[0.47368421052631576, 0.5822784810126582, 0.5833333333333334, 0.5675675675675675, 0.4675324675324675]",2025-10-01 22:47:22,0.8744466792015982,0.0753071235314189,paired_t,0.8744466792015982,False
E4_WIN_LR,"Winsorize(Income,YearsSince,YearsAt) + LR",0.5250844181102547,0.0513019085722569,"[0.4594594594594595, 0.5974025974025974, 0.5142857142857142, 0.547945205479452, 0.5063291139240507]",2025-10-01 22:47:23,0.5,-0.4,wilcoxon,0.6,False
E5_ROBUST_LR,RobustScaler + LR,0.5263826978895472,0.0507881816433138,"[0.4594594594594595, 0.5974025974025974, 0.5142857142857142, 0.547945205479452, 0.5128205128205128]",2025-10-01 22:47:23,0.3265708184662753,-0.4995218059314933,paired_t,0.48985622769941295,False
E6_COMBINED,Log1p + SMOTE + RF,0.4081290122689338,0.0421648317156559,"[0.3611111111111111, 0.46153846153846156, 0.36923076923076925, 0.4262295081967213, 0.4225352112676056]",2025-10-01 22:47:25,0.0004189424659981,-4.823843594660036,paired_t,0.0025136547959886003,True
E1_SMOTE_LR,SMOTE + Logistic Regression,0.484655648101339,0.0185033327120435,"[0.45255474452554745, 0.4852941176470588, 0.496551724137931, 0.4927536231884058, 0.49612403100775193]",2025-10-01 22:52:38,0.0763228159179011,-1.0625681405473384,paired_t,0.1526456318358022,False
E2_SMOTE_RF,SMOTE + Random Forest,0.4351109739522936,0.067733815157887,"[0.37142857142857144, 0.4473684210526316, 0.375, 0.5373134328358209, 0.4444444444444444]",2025-10-01 22:52:40,0.0130569990320813,-1.9049839065253795,paired_t,0.03917099709624391,True
E3_LOG_LR,"Log1p(Income,TotalYears,YearsAtCo) + LR",0.5348792119944685,0.0590411580225413,"[0.47368421052631576, 0.5822784810126582, 0.5833333333333334, 0.5675675675675675, 0.4675324675324675]",2025-10-01 22:52:41,0.8744466792015982,0.0753071235314189,paired_t,0.8744466792015982,False
E4_WIN_LR,"Winsorize(Income,YearsSince,YearsAt) + LR",0.5250844181102547,0.0513019085722569,"[0.4594594594594595, 0.5974025974025974, 0.5142857142857142, 0.547945205479452, 0.5063291139240507]",2025-10-01 22:52:41,0.5,-0.4,wilcoxon,0.6,False
E5_ROBUST_LR,RobustScaler + LR,0.5263826978895472,0.0507881816433138,"[0.4594594594594595, 0.5974025974025974, 0.5142857142857142, 0.547945205479452, 0.5128205128205128]",2025-10-01 22:52:41,0.3265708184662753,-0.4995218059314933,paired_t,0.48985622769941295,False
E6_COMBINED,Log1p + SMOTE + RF,0.4081290122689338,0.0421648317156559,"[0.3611111111111111, 0.46153846153846156, 0.36923076923076925, 0.4262295081967213, 0.4225352112676056]",2025-10-01 22:52:43,0.0004189424659981,-4.823843594660036,paired_t,0.0025136547959886003,True
E1_SMOTE_LR,SMOTE + Logistic Regression,0.484655648101339,0.0185033327120435,"[0.45255474452554745, 0.4852941176470588, 0.496551724137931, 0.4927536231884058, 0.49612403100775193]",2025-10-01 23:00:08,0.0763228159179011,-1.0625681405473384,paired_t,0.1526456318358022,False
E2_SMOTE_RF,SMOTE + Random Forest,0.4351109739522936,0.067733815157887,"[0.37142857142857144, 0.4473684210526316, 0.375, 0.5373134328358209, 0.4444444444444444]",2025-10-01 23:00:11,0.0130569990320813,-1.9049839065253795,paired_t,0.03917099709624391,True
E3_LOG_LR,"Log1p(Income,TotalYears,YearsAtCo) + LR",0.5348792119944685,0.0590411580225413,"[0.47368421052631576, 0.5822784810126582, 0.5833333333333334, 0.5675675675675675, 0.4675324675324675]",2025-10-01 23:00:11,0.8744466792015982,0.0753071235314189,paired_t,0.8744466792015982,False
E4_WIN_LR,"Winsorize(Income,YearsSince,YearsAt) + LR",0.5250844181102547,0.0513019085722569,"[0.4594594594594595, 0.5974025974025974, 0.5142857142857142, 0.547945205479452, 0.5063291139240507]",2025-10-01 23:00:11,0.5,-0.4,wilcoxon,0.6,False
E5_ROBUST_LR,RobustScaler + LR,0.5263826978895472,0.0507881816433138,"[0.4594594594594595, 0.5974025974025974, 0.5142857142857142, 0.547945205479452, 0.5128205128205128]",2025-10-01 23:00:11,0.3265708184662753,-0.4995218059314933,paired_t,0.48985622769941295,False
E6_COMBINED,Log1p + SMOTE + RF,0.4081290122689338,0.0421648317156559,"[0.3611111111111111, 0.46153846153846156, 0.36923076923076925, 0.4262295081967213, 0.4225352112676056]",2025-10-01 23:00:13,0.0004189424659981,-4.823843594660036,paired_t,0.0025136547959886003,True
